Question/Answer,Correct Answer
"11
  When developing an information security policy, what is the FIRST step that should be taken? <br></br>A. Obtain copies of mandatory regulations. <br></br>B. Gain management approval. <br></br>C. Seek acceptance from other departments. <br></br>D. Ensure policy is compliant with current working practices. 
<br></br>",Answer: B 
"12
  Which one of the following should NOT be contained within a computer policy? <br></br>A. Definition of management expectations. <br></br>B. Responsibilities of individuals and groups for protected information.  <br></br>C. Statement of senior executive support. CISSP<br></br>D. Definition of legal and regulatory controls. 
<br></br>",Answer: B 
"13
  Which one of the following is NOT a fundamental component of a Regulatory Security Policy? <br></br>A. What is to be done. <br></br>B. When it is to be done. <br></br>C. Who is to do it. <br></br>D. Why is it to be done 
<br></br>","Answer: C Regulatory Security policies are mandated to the organization but it up to them to implement it.""Regulatory - This policy is written to ensure that the organization is following standards set by a specific industry and is regulated by law. The policy type is detailed in nature and specific to atype of industry. This is used in financial institutions, health care facilities, and public utilities."" -Shon Harris All-in-one CISSP Certification Guide pg 93-94 "
"14
  Which one of the following statements describes management controls that are instituted toimplement a security policy? <br></br>A. They prevent users from accessing any control function. <br></br>B. They eliminate the need for most auditing functions. <br></br>C. They may be administrative, procedural, or technical. <br></br>D. They are generally inexpensive to implement. 
<br></br>","Answer: C Administrative, physical, and technical controls should be utilized to achieve the management'sdirectives. - Shon Harris All-in-one CISSP Certification Guide pg 60 "
"15
  Which must bear the primary responsibility for determining the level of protection needed forinformation systems resources? <br></br>A.) IS security specialists <br></br>B.) Senior Management <br></br>C.) Seniors security analysts <br></br>D.) system auditors 
<br></br>",Answer: B CISSP
"16
  Which of the following choices is NOT part of a security policy? <br></br>A.) definition of overall steps of information security and the importance of security <br></br>B.) statement of management intend, supporting the goals and principles of information security <br></br>C.) definition of general and specific responsibilities for information security management <br></br>D.) description of specific technologies used in the field of information security 
<br></br>",Answer: D 
"17
  In an organization, an Information Technology security function should: <br></br>A.) Be a function within the information systems functions of an organization <br></br>B.) Report directly to a specialized business unit such as legal, corporate security or insurance <br></br>C.) Be lead by a Chief Security Officer and report directly to the CEO <br></br>D.)Be independent but report to the Information Systems function 
<br></br>",Answer: C 
"18
  Which of the following embodies all the detailed actions that personnel are required tofollow? <br></br>A.) Standards <br></br>B.) Guidelines <br></br>C.) Procedures <br></br>D.) Baselines 
<br></br>",Answer: C 
"19
  A significant action has a state that enables actions on an ADP system to be traced to individualswho may then be held responsible. The action does NOT include: <br></br>A. Violations of security policy. <br></br>B. Attempted violations of security policy. <br></br>C. Non-violations of security policy. <br></br>D. Attempted violations of allowed actions. 
<br></br>","Answer: C Explanation: Significant action: The quality or state that enables actions on an ADP system to be CISSPtraced to individuals who may then be held responsible. These actions includeviolations and attempted violations of the security policy, as well as allowed actions. "
"20
  Network Security is a <br></br>A.) Product <br></br>B.) protocols <br></br>C.) ever evolving process <br></br>D.) quick-fix solution 
<br></br>",Answer: C 
"21
  Security is a process that is: <br></br>A. Continuous <br></br>B. Indicative  <br></br>C. Examined <br></br>D. Abnormal 
<br></br>",Answer: A Explanation: Security is a continuous process; as such you must closely monitor your systems on aregular basis. Log files are usually a good way to find an indication of abnormal activities.However some care must be exercise as to what will be logged and how the logs areprotected. Having corrupted logs is about as good as not having logs at all. 
"22
  What are the three fundamental principles of security? <br></br>A.) Accountability, confidentiality, and integrity <br></br>B.) Confidentiality, integrity, and availability <br></br>C.) Integrity, availability, and accountability <br></br>D.) Availability, accountability, and confidentiality 
<br></br>",Answer: B 
"23
  Which of the following prevents, detects, and corrects errors so that the integrity,availability, and confidentiality of transactions over networks may be maintained? <br></br>A.) Communications security management and techniques <br></br>B.) Networks security management and techniques CISSP<br></br>C.) Clients security management and techniques <br></br>D.) Servers security management and techniques 
<br></br>",Answer: A 
"24
  Making sure that the data is accessible when and where it is needed is which of thefollowing? <br></br>A.) Confidentiality <br></br>B.) integrity <br></br>C.) acceptability <br></br>D.) availability 
<br></br>",Answer: D 
"25
  Which of the following describes elements that create reliability and stability in networksand systems and which assures that connectivity is accessible when needed? <br></br>A.) Availability <br></br>B.) Acceptability <br></br>C.) Confidentiality <br></br>D.) Integrity 
<br></br>",Answer: A 
"26
  Most computer attacks result in violation of which of the following security properties? <br></br>A. Availability <br></br>B. Confidentiality  <br></br>C. Integrity and control <br></br>D. All of the choices. 
<br></br>","Answer: D Explanation: Most computer attacks only corrupt a system's security in very specific ways. Forexample, certain attacks may enable a hacker to read specific files but don't allowalteration of any system components. Another attack may allow a hacker to shut downcertain system components but doesn't allow access to any files. Despite the variedcapabilities of computer attacks, they usually result in violation of only four different security properties: availability, confidentiality, integrity, and control. CISSP"
"27
  Which of the following are objectives of an information systems security program? <br></br>A. Threats, vulnerabilities, and risks <br></br>B. Security, information value, and threats  <br></br>C. Integrity, confidentiality, and availability. <br></br>D. Authenticity, vulnerabilities, and costs. 
<br></br>","Answer: C There are several small and large objectives of a security program, but the main three principlesin all programs are confidentiality, integrity, and availability. These are referred to as the CIAtriad. - Shon Harris All-in-one CISSP Certification Guide pg 62 "
"28
  An area of the Telecommunications and Network Security domain that directly affects theInformation Systems Security tenet of Availability can be defined as: <br></br>A.) Netware availability <br></br>B.) Network availability <br></br>C.) Network acceptability <br></br>D.) Network accountability 
<br></br>",Answer: B 
"29
  The Structures, transmission methods, transport formats, and security measures that areused to provide integrity, availability, and authentication, and confidentiality fortransmissions over private and public communications networks and media includes: <br></br>A.) The Telecommunications and Network Security domain <br></br>B.) The Telecommunications and Netware Security domain <br></br>C.) The Technical communications and Network Security domain <br></br>D.) The Telnet and Security domain 
<br></br>","Answer: A The Telecommunications, Network, and Internet Security Domain encompasses the structures,transmission methods, transport formats, and security measures used to provide integrity,availability, authentication, and confidentiality for transmissions over private and publiccommunications networks and media."" Pg 515 Hansche: Official (ISC)2 Guide to the CISSPExam "
"30
  Which one of the following is the MOST crucial link in the computer security chain? CISSP<br></br>A. Access controls <br></br>B. People <br></br>C. Management <br></br>D. Awareness programs 
<br></br>",Answer: C 
"31
  The security planning process must define how security will be managed, who will beresponsible, and <br></br>A. Who practices are reasonable and prudent for the enterprise. <br></br>B.Who will work in the security department. <br></br>C. What impact security will have on the intrinsic value of data. <br></br>D.How security measures will be tested for effectiveness. 
<br></br>",Answer: D 
"32
  Information security is the protection of data. Information will be protected mainly based on: <br></br>A. Its sensitivity to the company. <br></br>B. Its confidentiality. <br></br>C. Its value. <br></br>D. All of the choices. 
<br></br>","Answer: D Explanation: Information security is the protection of data against accidental or malicious disclosure, modification, or destruction. Information will be protected based on its value, confidentiality, and/or sensitivity to the company, and the risk of loss orcompromise. At a minimum, information will be update-protected so that only authorizedindividuals can modify or erase the information. "
"33
  Organizations develop change control procedures to ensure that <br></br>A. All changes are authorized, tested, and recorded. <br></br>B. Changes are controlled by the Policy Control Board (PCB). <br></br>C. All changes are requested, scheduled, and completed on time. <br></br>D.Management is advised of changes made to systems. CISSP
<br></br>","Answer: A ""Change Control: Changes must be authorized, tested, and recorded. Changed systems mayrequire re-certification and re-accreditation."" Pg 699 Shon Harris: All-in-One CISSPCertification "
"34
  Within the organizational environment, the security function should report to an organizational level that <br></br>A. Has information technology oversight. <br></br>B. Has autonomy from other levels. <br></br>C. Is an external operation. <br></br>D. Provides the internal audit function. 
<br></br>",Answer: B 
"35
  What is the MAIN purpose of a change control/management system? <br></br>A. Notify all interested parties of the completion of the change. <br></br>B. Ensure that the change meets user specifications.  <br></br>C. Document the change for audit and management review. <br></br>D. Ensure the orderly processing of a change request. 
<br></br>",Answer: C 
"36
  Which of the following is most relevant to determining the maximum effective cost ofaccess control? <br></br>A.) the value of information that is protected <br></br>B.) management's perceptions regarding data importance <br></br>C.) budget planning related to base versus incremental spending. <br></br>D.) the cost to replace lost data 
<br></br>",Answer: A 
"37
  Which one of the following is the MAIN goal of a security awareness program when addressing seniormanagement? <br></br>A. Provide a vehicle for communicating security procedures. <br></br>B. Provide a clear understanding of potential risk and exposure. CISSP<br></br>C. Provide a forum for disclosing exposure and risk analysis. <br></br>D. Provide a forum to communicate user responsibilities. 
<br></br>","Answer: D ""Security Awareness....Expected responsibilities and acceptable behaviors need to be clarified,and noncompliance repercussions that could rang from warning to dismissal need to be explainedbefore being invoked."" Pg 110 Shon Harris CISSP All-In-One Certification Exam Guide "
"38
  In developing a security awareness program, it is MOST important to <br></br>A. Understand the corporate culture and how it will affect security. <br></br>B. Understand employees preferences for information security. <br></br>C. Know what security awareness products are available. <br></br>D. Identify weakness in line management support. 
<br></br>","Answer: A The controls and procedures of a security program should reflect the nature of the data being processed...Thesedifferent types of companies would also have very different cultures. For a security awareness program to beeffective, these considerations must be understood and the program should be developed in a fashion that makessense per environment - Shon Harris All-in-one CISSP Certification Guide pg 109 "
"39
  Which of the following would be best suited to provide information during a review of thecontrols over the process of defining IT service levels? <br></br>A.) Systems programmer <br></br>B.) Legal stuff <br></br>C.) Business unit manager <br></br>D.) Programmer 
<br></br>",Answer: C 
"40
  Which of the following best explains why computerized information systems frequently failto meet the needs of users? <br></br>A.) Inadequate quality assurance (QA) tools <br></br>B.) Constantly changing user needs <br></br>C.) Inadequate user participation in defining the system's requirements <br></br>D.) Inadequate project management. 
<br></br>",Answer: C CISSP
"41
  Which of the following is not a compensating measure for access violations? <br></br>A.)Backups <br></br>B.) Business continuity planning <br></br>C.) Insurance <br></br>D.) Security awareness 
<br></br>",Answer: D 
"42
  Risk analysis is MOST useful when applied during which phase of the system developmentprocess? <br></br>A.) Project identification <br></br>B.) Requirements definition <br></br>C.) System construction <br></br>D.) Implementation planning 
<br></br>",Answer: A Reference: pg 684 Shon Harris: All-in-One CISSP Certification 
"43
  Which one of the following is not one of the outcomes of a vulnerability analysis? <br></br>A.)Quantative loss assessment <br></br>B.) Qualitative loss assessment <br></br>C.) Formal approval of BCP scope and initiation document <br></br>D.) Defining critical support areas 
<br></br>",Answer: C 
"44
  Which of the following is not a part of risk analysis? <br></br>A.) Identify risks <br></br>B.) Quantify the impact of potential threats <br></br>C.) Provide an economic balance between the impact of the risk and the cost of the associatedcountermeasures <br></br>D.) Choose the best countermeasure 
<br></br>",Answer: D 
"45
  A new worm has been released on the Internet. After investigation, you have not been able to determine if CISSPyou are at risk of exposure. Management is concerned as they have heard that a number of theircounterparts are being affected by the worm. How could you determine if you are at risk? <br></br>A. Evaluate evolving environment. <br></br>B. Contact your anti-virus vendor. <br></br>C. Discuss threat with a peer in another organization. <br></br>D. Wait for notification from an anti-virus vendor. 
<br></br>",Answer: B 
"46
  When conducting a risk assessment, which one of the following is NOT an acceptable social engineeringpractice? <br></br>A. Shoulder surfing <br></br>B. Misrepresentation <br></br>C. Subversion <br></br>D. Dumpster diving 
<br></br>","Answer: C Subversion 1. activity undermining government: an action, plan, or activity intended to undermine oroverthrow a government or other institution 2. overthrow of something: the destruction or ruining of something The Internet Activities Board (IAB) Ethics adn the Interent.....Any activity is defined as unacceptable and unethical that purposely.....Destroys the integrity of computer-based information. Krutz: The CISSP Prep Guide. pg. 317. It is unethical to ruin the computer system as a part of your risk assessment. Dumpster Diving. Searching for paper disposal areas for unshredded or otherwise improperlydisposed reports. Krutz: The CISSP Prep Guide pg 234. Dumpster diving is not socialengineering. Misrepresentation: Social Engineering attacks can be used as penetration tests. These sorts of tests will help determine how vulnerable your frontline employees are to individuals adept atlying. Tittel: CISSP Study Guide pg. 477. Penetration testing should only be performed with tehconsent and knowledge of teh management staff. Performing unapproved security testing couldresult in productivity loss, trigger emergency response teams, or even cost you your job. Tittel:CISSP Study Guide pg. 474. Shoulder Surfing: Attackers can thwart confidentiality mechanisms by network monitoring,shoulder surfing, stealing password files, and social engineering. These topics will be addressmore in-depth in later chapters, but shoulder surfing is when a person looks over another person'sshoulder and watches keystrokes or data as it appears on the screen. Social engineering is tricking another person into sharing confidential information by posing as an authorized individualto that information. Shon Harris: CISSP Certification pg. 63. Shoulder surfing is not socialengineering. CISSP"
"47
  Which one of the following risk analysis terms characterizes the absence or weakness of arisk-reducing safegaurd? <br></br>A. Threat <br></br>B. Probability <br></br>C. Vulnerability <br></br>D. Loss expectancy 
<br></br>","Answer: C A weakness in system security procedures, system design, implementation, internal controls, andso on that could be exploited to violate system security policy. -Ronald Krutz The CISSP PREPGuide (gold edition) pg 927 "
"48
  Risk is commonly expressed as a function of the <br></br>A. Systems vulnerabilities and the cost to mitigate. <br></br>B. Types of countermeasures needed and the system's vulnerabilities. <br></br>C.Likelihood that the harm will occur and its potential impact. <br></br>D. Computer system-related assets and their costs. 
<br></br>","Answer: C The likelihood of a threat agent taking advantage of a vulnerability. A risk is the loss potential,or probability, that a threat will exploit a vulnerability. - Shon Harris All-in-one CISSPCertification Guide pg 937 "
"49
  How should a risk be handled when the cost of the countermeasures outweighs the cost of therisk? <br></br>A.) Reject the risk <br></br>B.) Perform another risk analysis <br></br>C.) Accept the risk <br></br>D.) Reduce the risk 
<br></br>",Answer: C 
"50
  Which of the following is an advantage of a qualitative over quantitative risk analysis? <br></br>A.) It prioritizes the risks and identifies areas for immediate improvement in addressing thevulnerabilities. <br></br>B.) It prioritizes the risks and identifies areas for immediate improvement in addressing the CISSPvulnerabilities <br></br>C.) It provides specific quantifiable measurements of the magnitude of the impacts <br></br>D.) It makes cost-benefit analysis of recommended controls easier 
<br></br>",Answer: A 
"51
  The absence or weakness in a system that may possibly be exploited is called a(n)? <br></br>A.)Threat <br></br>B.) Exposure <br></br>C.) Vulnerability <br></br>D.) Risk 
<br></br>",Answer: C 
"52
  What tool do you use to determine whether a host is vulnerable to known attacks? <br></br>A. Padded Cells <br></br>B. Vulnerability analysis  <br></br>C. Honey Pots <br></br>D. IDS 
<br></br>","Answer: B Explanation: Vulnerability analysis (also known as vulnerability assessment) tools test to determinewhether a network or host is vulnerable to known attacks. Vulnerability assessmentrepresents a special case of the intrusion detection process. The information sourcesused are system state attributes and outcomes of attempted attacks. The informationsources are collected by a part of the assessment engine. The timing of analysis isinterval-based or batch-mode, and the type of analysis is misuse detection. This meansthat vulnerability assessment systems are essentially batch mode misuse detectors thatoperate on system state information and results of specified test routines. "
"53
  Which of the following statements pertaining to ethical hacking is incorrect? <br></br>A.) An organization should use ethical hackers who do not sell auditing, consulting, hardware,software, firewall, hosting, and/or networking services <br></br>B.) Testing should be done remotely <br></br>C.) Ethical hacking should not involve writing to or modifying the target systems <br></br>D.) Ethical hackers should never use tools that have potential of exploiting vulnerabilities in theorganizations IT system. CISSP
<br></br>",Answer: D 
"54
  Why would an information security policy require that communications test equipment becontrolled? <br></br>A.) The equipment is susceptible to damage <br></br>B.) The equipment can be used to browse information passing on a network <br></br>C.) The equipment must always be available for replacement if necessary <br></br>D.) The equipment can be used to reconfigure the network multiplexers 
<br></br>",Answer: B 
"55
  Management can expect penetration tests to provide all of the following EXCEPT <br></br>A. identification of security flaws <br></br>B. demonstration of the effects of the flaws  <br></br>C. a method to correct the security flaws. <br></br>D. verification of the levels of existing infiltration resistance 
<br></br>","Answer: B Explanation: Penetration testing is a set of procedures designed to test and possibly bypasssecurity controls of a system. Its goal is to measure an organization's resistance to an attackand to uncover any weaknesses within the environment...The result of a penetration test is a report given to management describing the list of vulnerabilities that were identified and theseverity of those vulnerabilities. From here, it is up to management to determine how the vulnerabilities are dealt with and what countermeasures are implemented. - Shon Harris All-in-one CISSP Certification Guide pg 837-839 "
"56
  Which one of the following is a characteristic of a penetration testing project? <br></br>A. The project is open-ended until all known vulnerabilities are identified. <br></br>B. The project schedule is plotted to produce a critical path.  <br></br>C. The project tasks are to break into a targeted system. <br></br>D. The project plan is reviewed with the target audience. 
<br></br>","Answer: C ""One common method to test the strength of your security measures is to perform penetrationtesting. Penetration testing is a vigorous attempt to break into a protected network using anymeans necessary."" Pg 430 Tittel: CISSP Study Guide CISSP"
"57
  Which one of the following is the PRIMARY objective of penetration testing? <br></br>A. Assessment <br></br>B. Correction  <br></br>C. Detection <br></br>D. Protection 
<br></br>",Answer: A Explanation: Its goal is to measure an organization's resistance to an attack and to uncover any weakness within theenvironment...The result of a penetration test is a report given to management describing the list ofvulnerabilities that were identified and the severity of those vulnerabilities. - Shon Harris All-in-one CISSP Certification Guidepg 837-839 
"58
  Open box testing, in the Flaw Hypothesis Methodology of Penetration Testing applies to the analysis of <br></br>A. Routers and firewalls <br></br>B. Host-based IDS systems <br></br>C. Network-based IDS systems <br></br>D. General purpose operating systems 
<br></br>","Answer: D Explanation: Flaw Hypothesis Methodology - A system analysis and penetration technique where specifications and documentation for the system are analyzed and then flaws in the system arehypothesized. The list of hypothesized flaws is then prioritized on the basis of the estimatedprobability that a flaw actually exists and, assuming a flaw does exist, on the ease of exploiting it andon the extent of control or compromise it would provide. The prioritized list is used to direct the actual testing of the system.http://www.kernel.org/pub/linux/libs/security/Orange-Linux/refs/Orange/Orange0-5.html "
"59
  What is the FIRST step that should be considered in a penetration test? <br></br>A. The approval of change control management. <br></br>B. The development of a detailed test plan.  CISSP<br></br>C. The formulation of specific management objectives. <br></br>D. The communication process among team members. 
<br></br>","Answer: C Explanation: The type of penetration test depends on the organization, its security objectives, and themanagement's goals. - Shon Harris All-in-one CISSP Certification Guide pg 838 "
"60
  Penetration testing will typically include <br></br>A. Generally accepted auditing practices. <br></br>B. Review of Public Key Infrastructure (PKI) digital certificate, and encryption. <br></br>C.Social engineering, configuration review, and vulnerability assessment. <br></br>D. Computer Emergency Response Team (CERT) procedures. 
<br></br>",Answer: C 
"61
  Which of the following is not a valid reason to use external penetration service firms ratherthan corporate resources? <br></br>A.) They are more cost-effective <br></br>B.) They offer a lack of corporate bias <br></br>C.) They use highly talented ex-hackers <br></br>D.) They insure a more complete reporting 
<br></br>",Answer: C 
"62
  Which of the following tools can you use to assess your networks vulnerability? <br></br>A. ISS <br></br>B. All of the choices.  <br></br>C. SATAN <br></br>D. Ballista 
<br></br>","Answer: B Explanation: ISS, Ballista and SATAN are all penetration tools.  CISSP"
"63
  Annualized Loss Expectancy (ALE) value is derived from an algorithm of the product of annual rate ofoccurrence and <br></br>A. Cost of all losses expected. <br></br>B. Previous year's actual loss. <br></br>C. Average of previous losses. <br></br>D. Single loss expectancy. 
<br></br>",Answer: D Single Loss Expectancy (SLE) x Annualized Rate of Occurance (ARO) = ALE pg. 18 Krutz: The CISSP PrepGuide 
"64
  If your property insurance has Actual Cost Evaluation (ACV) clause your damagedproperty will be compensated: <br></br>A.) Based on the value of the item on the date of loss <br></br>B.) Based on new item for old regardless of condition of lost item <br></br>C.) Based on value of item one month before loss <br></br>D.) Based on value of item on the date of loss plus 10 percent 
<br></br>",Answer: D 
"65
  How is Annualized Loss Expectancy (ALE) derived from a threat? <br></br>A.) ARO x (SLE - EF) <br></br>B.) SLE x ARO <br></br>C.) SLE/EF <br></br>D.) AV x EF 
<br></br>","Answer: B ""SLE x annualized rate of occurrence (ARO) = ALE"" pg 70 Shon Harris: All-in-One CISSPCertification "
"66
  Qualitative loss resulting from the business interruption does not include: <br></br>A.)Loss of revenue <br></br>B.) Loss of competitive advantage or market share <br></br>C.) Loss of public confidence and credibility <br></br>D.) Public embarrassment 
<br></br>","Answer: A CISSP""Another method of risk analysis is qualitative, which does not assign numbers and monetaryvalu8es to components and losses."" Pg 72 Shon Harris: All-in-One CISSP Certification "
"67
  Which risk management methodology uses the exposure factor multiplied by the asset value to determine itsoutcome? <br></br>A. Annualized Loss Expectancy <br></br>B. Single Loss Expectancy <br></br>C. Annualized Rate of Occurrence <br></br>D. Information Risk Management 
<br></br>",Answer: B Single Loss Expectancy (SLE) AN SLE is the dollar figure that is assigned to a single event. Itrepresents an organization's loss from a single threat and is derived from the following formula:Asset Value ($) X Exposure Factor (EF) = SLE -Ronald Krutz The CISSP PREP Guide (goldedition) pg 18 
"68
  Valuable paper insurance coverage does not cover damage to which of the following? <br></br>A.)Inscribed, printed and written documents <br></br>B.) Manuscripts <br></br>C.) Records <br></br>D.) Money and Securities 
<br></br>",Answer: D 
"69
  What is the window of time for recovery of information processing capabilities based on? <br></br>A.)Quality of the data to be processed <br></br>B.) Nature of the disaster <br></br>C.) Criticality of the operations affected <br></br>D.) Applications that are mainframe based 
<br></br>",Answer: C 
"70
  What is the Maximum Tolerable Downtime (MTD): <br></br>A.) Maximum elapsed time required to complete recovery of application data <br></br>B.) Minimum elapsed time required to complete recovery of application data <br></br>C.) Maximum elapsed time required to move back to primary site a major disruption <br></br>D.) It is maximum delay businesses that can tolerate and still remain viable CISSP
<br></br>","Answer: D ""The MTD is the period of time a business function or process can remain interrupted before itsability to recover becomes questionable."" Pg 678 Hansche: Official (ISC)2 Guide to the CISSPExam "
"71
  A ""critical application"" is one that MUST <br></br>A. Remain operational for the organization to survive. <br></br>B. Be subject to continual program maintenance. <br></br>C. Undergo continual risk assessments. <br></br>D. Be constantly monitored by operations management. 
<br></br>","Answer: A I am assuming that I don't need to put a reference for this answer. Yeah ok here it is but I cheatedand used a earlier reference ""A BIA is performed at the beginning of disaster recovery and continuity planning to identify theareas that would suffer the greatest financial or operational loss in the event of a disaster ordisruption. It identifies the company's critical systems needed for survival and estimates theoutage time that can be tolerated by the company as a result of disaster or disruption."" - ShonHarris All-in-one CISSP Certification Guide pg 597 "
"72
  Which of the following questions is less likely to help in assessing physical andenvironmental protection? <br></br>A.) Are entry codes changed periodically? <br></br>B.) Are appropriate fire suppression and prevention devices installed and working? <br></br>C.) Are there processes to ensure that unauthorized individuals cannot read, copy, alter, or stealprinted or electronic information? <br></br>D.) Is physical access to data transmission lines controlled? 
<br></br>",Answer: C 
"73
  A common Limitation of information classification systems is the INABILITY to <br></br>A. Limit the number of classifications. <br></br>B. Generate internal labels on diskettes. <br></br>C. Declassify information when appropriate. <br></br>D. Establish information ownership. 
<br></br>","Answer: C CISSPI could not find a reference for this. However I do agree that declassifying information is harderto do the classifying, but use your best judgment based on experience and knowledge. "
"74
  The purpose of information classification is to <br></br>A. Assign access controls. <br></br>B. Apply different protective measures. <br></br>C. Define the parameters required for security labels. <br></br>D. Ensure separation of duties. 
<br></br>",Answer: C 
"75
  Who should determine the appropriate access control of information? <br></br>A. Owner <br></br>B. User  <br></br>C. Administrator <br></br>D. Server 
<br></br>","Answer: A Explanation: All information generated, or used must have a designated owner. The owner mustdetermine appropriate sensitivity classifications, and access controls. The owner mustalso take steps to ensure the appropriate controls for the storage, handling,distribution, and use of the information in a secure manner. "
"76
  What is the main responsibility of the information owner? <br></br>A.) making the determination to decide what level of classification the information requires <br></br>B.) running regular backups <br></br>C.) audit the users when they require access to the information <br></br>D.) periodically checking the validity and accuracy for all data in the information system 
<br></br>",Answer: A 
"77
  What process determines who is trusted for a given purpose? <br></br>A. Identification CISSP<br></br>B. Authorization <br></br>C. Authentication <br></br>D. Accounting 
<br></br>","Answer: B Explanation: Authorization determines who is trusted for a given purpose. More precisely, itdetermines whether a particular principal, who has been authenticated as the source ofa request to do something, is trusted for that operation. Authorization may alsoinclude controls on the time at which something can be done (e.g. only during workinghours) or the computer terminal from which it can be requested (e.g. only the one onthe system administrator desk). "
